cc_id,customer_id,card_type,limit,usage_last_month,status
CC500001,CUST043918,Platinum,200000,94661,Active
CC500002,CUST012404,Classic,50000,46509,Active
CC500003,CUST006949,Platinum,200000,163672,Blocked
CC500004,CUST040497,Gold,100000,37416,Active
CC500005,CUST028877,Gold,100000,11400,Active
CC500006,CUST020451,Gold,100000,44296,Active
CC500007,CUST047571,Gold,100000,95349,Active
CC500008,CUST024339,Platinum,200000,11624,Active
CC500009,CUST009778,Classic,50000,9673,Active
CC500010,CUST007470,Platinum,200000,96595,Active
CC500011,CUST030410,Gold,100000,19577,Active
CC500012,CUST025029,Platinum,200000,79485,Active
CC500013,CUST023846,Classic,50000,45360,Active
CC500014,CUST049937,Classic,50000,38716,Active
CC500015,CUST021066,Gold,100000,12974,Active
CC500016,CUST006427,Platinum,200000,87777,Active
CC500017,CUST034971,Classic,50000,15466,Active
CC500018,CUST017871,Platinum,200000,37436,Blocked
CC500019,CUST005487,Platinum,200000,54682,Active
CC500020,CUST023789,Gold,100000,43004,Active
CC500021,CUST016689,Classic,50000,18061,Active
CC500022,CUST012612,Gold,100000,14760,Active
CC500023,CUST013473,Classic,50000,18066,Active
CC500024,CUST001220,Classic,50000,622,Active
CC500025,CUST015086,Classic,50000,8195,Active
CC500026,CUST033911,Platinum,200000,106101,Active
CC500027,CUST024396,Gold,100000,37875,Active
CC500028,CUST006441,Platinum,200000,2788,Active
CC500029,CUST013991,Classic,50000,35410,Active
CC500030,CUST011078,Platinum,200000,167248,Active
CC500031,CUST044522,Platinum,200000,41811,Active
CC500032,CUST006856,Classic,50000,15641,Active
CC500033,CUST024893,Classic,50000,42669,Active
CC500034,CUST013068,Classic,50000,21424,Active
CC500035,CUST033672,Classic,50000,44894,Active
CC500036,CUST040578,Platinum,200000,122888,Active
CC500037,CUST013116,Classic,50000,20051,Active
CC500038,CUST034047,Classic,50000,31012,Active
CC500039,CUST011320,Gold,100000,96075,Active
CC500040,CUST012256,Platinum,200000,176174,Active
CC500041,CUST049956,Platinum,200000,14160,Active
CC500042,CUST034270,Platinum,200000,86901,Active
CC500043,CUST038711,Gold,100000,86469,Active
CC500044,CUST026370,Gold,100000,58418,Active
CC500045,CUST047741,Platinum,200000,180657,Active
CC500046,CUST000870,Platinum,200000,187552,Active
CC500047,CUST004093,Gold,100000,79992,Active
CC500048,CUST049979,Platinum,200000,183299,Active
CC500049,CUST041052,Classic,50000,5835,Active
CC500050,CUST029595,Gold,100000,14657,Active
CC500051,CUST032714,Classic,50000,6210,Active
CC500052,CUST002823,Platinum,200000,116525,Active
CC500053,CUST022702,Classic,50000,36319,Blocked
CC500054,CUST016394,Platinum,200000,128369,Blocked
