customer_id,gender,age,account_open_date
CUST000001,Male,70,11/14/2025
CUST000002,Female,33,11/26/2025
CUST000003,Male,74,11/29/2025
CUST000004,Female,26,8/9/2025
CUST000005,Male,72,11/27/2025
CUST000006,Female,49,11/14/2025
CUST000007,Male,66,11/3/2025
CUST000008,Female,28,3/2/2025
CUST000009,Male,69,5/21/2025
CUST000010,Female,20,8/10/2025
CUST000011,Male,30,6/5/2025
CUST000012,Female,55,2/19/2025
CUST000013,Male,75,2/1/2025
CUST000014,Female,63,7/28/2025
CUST000015,Male,70,11/29/2025
CUST000016,Female,38,8/30/2025
CUST000017,Male,50,9/24/2025
CUST000018,Female,33,10/16/2025
CUST000019,Male,60,5/2/2025
CUST000020,Female,44,9/6/2025
CUST000021,Male,32,7/4/2025
CUST000022,Female,24,9/24/2025
CUST000023,Male,32,9/21/2025
CUST000024,Female,31,5/22/2025
CUST000025,Male,63,10/27/2025
CUST000026,Female,30,2/7/2025
CUST000027,Male,63,7/30/2025
CUST000028,Female,68,1/22/2025
CUST000029,Male,60,9/23/2025
CUST000030,Female,27,11/9/2025
CUST000031,Male,36,10/20/2025
CUST000032,Female,35,8/3/2025
CUST000033,Male,69,5/31/2025
CUST000034,Female,55,5/7/2025
CUST000035,Male,32,11/26/2025
CUST000036,Female,47,10/18/2025
CUST000037,Male,59,1/5/2026
CUST000038,Female,56,2/23/2025
CUST000039,Male,53,2/26/2025
CUST000040,Female,43,7/20/2025
CUST000041,Male,62,10/9/2025
CUST000042,Female,57,2/3/2025
CUST000043,Male,24,11/19/2025
CUST000044,Female,41,10/16/2025
CUST000045,Male,39,7/3/2025
CUST000046,Female,37,1/23/2025
CUST000047,Male,28,12/27/2025
CUST000048,Female,54,1/21/2025
CUST000049,Male,67,12/1/2025
CUST000050,Female,60,8/25/2025
CUST000051,Male,51,2/15/2025
CUST000052,Female,43,8/3/2025
CUST000053,Male,65,4/16/2025
CUST000054,Female,74,2/9/2025
CUST000055,Male,43,11/24/2025
CUST000056,Female,20,12/24/2025
CUST000057,Male,59,7/6/2025
CUST000058,Female,43,2/7/2025
CUST000059,Male,57,9/4/2025
CUST000060,Female,45,4/29/2025
CUST000061,Male,30,5/7/2025
CUST000062,Female,28,6/30/2025
CUST000063,Male,59,6/19/2025
CUST000064,Female,18,1/28/2025
CUST000065,Male,46,4/17/2025
CUST000066,Female,51,11/23/2025
CUST000067,Male,51,6/30/2025
CUST000068,Female,58,4/23/2025
CUST000069,Male,47,2/13/2025
CUST000070,Female,47,12/9/2025
CUST000071,Male,45,12/17/2025
CUST000072,Female,66,9/30/2025
CUST000073,Male,38,9/5/2025
CUST000074,Female,31,2/18/2025
CUST000075,Male,65,6/22/2025
CUST000076,Female,34,11/6/2025
CUST000077,Male,65,3/23/2025
CUST000078,Female,69,10/1/2025
CUST000079,Male,29,7/15/2025
CUST000080,Female,26,4/22/2025
CUST000081,Male,25,11/17/2025
CUST000082,Female,67,8/27/2025
CUST000083,Male,61,5/15/2025
CUST000084,Female,21,10/6/2025
CUST000085,Male,72,7/9/2025
CUST000086,Female,37,12/30/2025
CUST000087,Male,33,2/27/2025
CUST000088,Female,27,1/2/2026
CUST000089,Male,24,9/3/2025
CUST000090,Female,64,6/20/2025
CUST000091,Male,37,9/15/2025
CUST000092,Female,69,9/16/2025
CUST000093,Male,28,7/21/2025
CUST000094,Female,58,5/25/2025
CUST000095,Male,43,3/1/2025
CUST000096,Female,31,11/16/2025
CUST000097,Male,28,9/15/2025
CUST000098,Female,50,2/21/2025
CUST000099,Male,27,5/27/2025
CUST000100,Female,31,3/17/2025
CUST000101,Male,47,2/11/2025
CUST000102,Female,58,3/20/2025
CUST000103,Male,60,2/18/2025
CUST000104,Female,52,2/25/2025
CUST000105,Male,58,12/7/2025
CUST000106,Female,68,4/3/2025
CUST000107,Male,56,10/8/2025
CUST000108,Female,57,1/30/2025
CUST000109,Male,66,5/24/2025
CUST000110,Female,48,4/17/2025
CUST000111,Male,57,7/16/2025
CUST000112,Female,20,10/10/2025
CUST000113,Male,50,7/24/2025
CUST000114,Female,39,12/18/2025
CUST000115,Male,51,2/2/2025
CUST000116,Female,52,8/23/2025
CUST000117,Male,69,1/6/2026
CUST000118,Female,66,1/16/2025
CUST000119,Male,41,4/29/2025
CUST000120,Female,68,4/25/2025
CUST000121,Male,59,8/23/2025
CUST000122,Female,38,4/27/2025
CUST000123,Male,35,12/3/2025
CUST000124,Female,35,10/24/2025
CUST000125,Male,75,11/26/2025
CUST000126,Female,72,12/30/2025
CUST000127,Male,23,5/9/2025
CUST000128,Female,55,4/10/2025
CUST000129,Male,55,3/4/2025
CUST000130,Female,66,11/16/2025
CUST000131,Male,52,11/21/2025
CUST000132,Female,35,1/31/2025
CUST000133,Male,54,9/30/2025
CUST000134,Female,37,3/27/2025
CUST000135,Male,47,6/5/2025
CUST000136,Female,39,8/10/2025
CUST000137,Male,73,4/22/2025
CUST000138,Female,35,9/24/2025
CUST000139,Male,60,7/9/2025
CUST000140,Female,38,12/13/2025
CUST000141,Male,54,8/1/2025
CUST000142,Female,21,10/27/2025
CUST000143,Male,64,4/15/2025
CUST000144,Female,20,12/6/2025
CUST000145,Male,71,2/1/2025
CUST000146,Female,37,1/12/2026
CUST000147,Male,33,6/14/2025
CUST000148,Female,57,3/26/2025
CUST000149,Male,52,9/5/2025
CUST000150,Female,50,1/10/2026
CUST000151,Male,64,10/18/2025
CUST000152,Female,75,9/27/2025
CUST000153,Male,54,10/8/2025
CUST000154,Female,31,8/12/2025
CUST000155,Male,64,1/28/2025
CUST000156,Female,41,6/11/2025
CUST000157,Male,49,10/18/2025
CUST000158,Female,62,1/2/2026
CUST000159,Male,45,3/22/2025
CUST000160,Female,28,8/24/2025
CUST000161,Male,21,9/1/2025
CUST000162,Female,53,3/28/2025
CUST000163,Male,46,5/26/2025
