loan_id,customer_id,loan_type,loan_amount,start_date,term_months,interest_rate,status
LOAN400001,CUST017446,Car,1492342,6/18/2025,36,9.5,Active
LOAN400002,CUST000363,Car,769310,8/13/2025,36,9.5,Active
LOAN400003,CUST006826,Home,3904914,2/21/2025,60,7.5,Active
LOAN400004,CUST045041,Car,965574,8/12/2025,36,9.5,Active
LOAN400005,CUST009998,Home,4830811,2/23/2025,60,7.5,Active
LOAN400006,CUST005127,Car,375422,8/5/2025,36,9.5,Active
LOAN400007,CUST001947,Home,4538558,12/8/2025,60,7.5,Active
LOAN400008,CUST040758,Personal,111689,2/21/2025,24,12,Active
LOAN400009,CUST035203,Personal,107919,2/3/2025,24,12,Active
LOAN400010,CUST027775,Home,3741863,12/12/2025,60,7.5,Active
LOAN400011,CUST011936,Home,2380504,9/28/2025,60,7.5,Active
LOAN400012,CUST031003,Personal,453147,7/7/2025,24,12,Closed
LOAN400013,CUST042468,Home,1233481,7/17/2025,60,7.5,Active
LOAN400014,CUST002036,Personal,293585,8/5/2025,24,12,Active
LOAN400015,CUST049270,Personal,278812,3/26/2025,24,12,Active
LOAN400016,CUST001384,Personal,373994,11/7/2025,24,12,Closed
LOAN400017,CUST010990,Car,1053643,5/15/2025,36,9.5,Active
LOAN400018,CUST030170,Personal,248947,7/8/2025,24,12,Active
LOAN400019,CUST008778,Home,4285958,2/10/2025,60,7.5,Active
LOAN400020,CUST003703,Car,870563,7/11/2025,36,9.5,Active
LOAN400021,CUST038644,Car,516693,6/8/2025,36,9.5,Active
LOAN400022,CUST002370,Car,358789,10/23/2025,36,9.5,Active
LOAN400023,CUST003750,Car,737279,3/6/2025,36,9.5,Active
LOAN400024,CUST033090,Personal,138545,10/16/2025,24,12,Active
LOAN400025,CUST040069,Car,598013,5/13/2025,36,9.5,Active
LOAN400026,CUST022872,Home,3306239,9/30/2025,60,7.5,Active
LOAN400027,CUST036690,Home,3380584,3/7/2025,60,7.5,Active
LOAN400028,CUST010026,Home,1728210,1/24/2025,60,7.5,Active
LOAN400029,CUST017920,Car,500729,2/14/2025,36,9.5,Active
LOAN400030,CUST045651,Car,602488,7/4/2025,36,9.5,Active
LOAN400031,CUST001318,Car,1211887,5/31/2025,36,9.5,Active
LOAN400032,CUST009990,Car,586565,4/20/2025,36,9.5,Active
LOAN400033,CUST002584,Personal,295091,3/6/2025,24,12,Active
LOAN400034,CUST034005,Home,2123310,3/23/2025,60,7.5,Active
LOAN400035,CUST032039,Car,637802,12/1/2025,36,9.5,Active
LOAN400036,CUST014443,Home,3516702,12/2/2025,60,7.5,Active
LOAN400037,CUST025974,Home,2929746,7/21/2025,60,7.5,Active
LOAN400038,CUST021245,Home,4505048,3/2/2025,60,7.5,Active
LOAN400039,CUST000695,Car,628853,1/17/2025,36,9.5,Active
LOAN400040,CUST014288,Personal,494737,11/19/2025,24,12,Active
LOAN400041,CUST004484,Home,2425797,7/13/2025,60,7.5,Active
LOAN400042,CUST014216,Personal,283741,2/23/2025,24,12,Active
LOAN400043,CUST008181,Car,859094,1/27/2025,36,9.5,Active
LOAN400044,CUST031000,Home,2232967,4/22/2025,60,7.5,Active
LOAN400045,CUST004645,Personal,227417,3/5/2025,24,12,Closed
LOAN400046,CUST047438,Personal,91149,7/18/2025,24,12,Active
LOAN400047,CUST030214,Personal,228915,3/18/2025,24,12,Active
